product_id,sku,name,category,price,cost,description,image_url,stock_quantity,weight,dimensions,created_date
15,SKU-74042,Waterproof Vacuum,Electronics,60.37,32.91,,https://example.com/images/sku-74042.jpg,425,4.05,20x8x20 cm,2025-06-09
16,SKU-73699,Eco Mug,Home & Kitchen,489.1,299.86,,https://example.com/images/sku-73699.jpg,64,0.73,35x40x15 cm,2024-08-04
17,SKU-65461,Wireless Camera,Beauty,464.81,326.35,,https://example.com/images/sku-65461.jpg,353,1.09,24x30x47 cm,2025-09-02
18,SKU-77839,Stylish Chair,Books,64.9,31.79,Stylish Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-77839.jpg,173,0.2,40x19x42 cm,2024-06-19
19,SKU-78493,Premium Mug,Electronics,118.33,90.19,Premium Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-92719.jpg,440,1.72,37x20x22 cm,2025-09-22
20,SKU-80678,Lightweight Lamp,Clothing,363.06,273.37,Lightweight Lamp - A high-quality lamp designed for modern needs.,https://example.com/images/sku-80678.jpg,295,2.42,35x31x17 cm,2024-02-11
21,SKU-66498,Eco Headphones,,214.67,125.97,Eco Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-66498.jpg,373,0.37,46x46x11 cm,2024-01-08
22,SKU-54473,Durable Pen,Pet Supplies,431.53,215.53,Durable Pen - A high-quality pen designed for modern needs.,https://example.com/images/sku-54473.jpg,97,2.73,13x32x16 cm,2024-08-18
23,SKU-19880,Lightweight Lamp,Books,free,300.64,Lightweight Lamp - A high-quality lamp designed for modern needs.,https://example.com/images/sku-19880.jpg,50,0.35,39x5x10 cm,2024-07-06
24,SKU-73653,Smart Bag,Books,free,62.09,Smart Bag - A high-quality bag designed for modern needs.,https://example.com/images/sku-73653.jpg,30,0.91,5x29x21 cm,2025-02-14
25,SKU-82845,Portable Bag,Office,360.61,166.57,Portable Bag - A high-quality bag designed for modern needs.,https://example.com/images/sku-82845.jpg,151,1.17,8x42x39 cm,2024-01-08
26,SKU-16572,Stylish Speaker,Jewelry,241.01,185.04,,https://example.com/images/sku-16572.jpg,271,0.87,37x10x16 cm,2024-01-16
27,SKU-98501,Waterproof Mug,Beauty,204.87,159.11,Waterproof Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-98501.jpg,291,1.31,43x7x44 cm,2024-01-29
28,SKU-86503,Durable Headphones,Jewelry,263.78,204.13,Durable Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-86503.jpg,104,3.38,25x20x21 cm,2024-12-16
29,SKU-94607,Smart Headphones,Sports,231.33,178.5,,https://example.com/images/sku-94607.jpg,479,0.46,34x44x41 cm,2024-02-17
30,SKU-37938,Eco Bottle,Health,136.27,105.38,,https://example.com/images/sku-37938.jpg,451,0.44,20x28x23 cm,2024-04-16
31,SKU-49651,Lightweight Bottle,Jewelry,,355.64,Lightweight Bottle - A high-quality bottle designed for modern needs.,https://example.com/images/sku-49651.jpg,270,0.14,40x24x47 cm,2024-02-21
32,SKU-25129,Smart Watch,Home & Kitchen,372.5,172.16,Smart Watch - A high-quality watch designed for modern needs.,https://example.com/images/sku-25129.jpg,144,3.06,50x26x18 cm,2025-10-10
33,SKU-74032,Portable Bottle,Sports,453.14,334.62,,https://example.com/images/sku-74032.jpg,47,3.21,22x7x5 cm,2024-10-13
34,SKU-44335,Smart Headphones,Clothing,371.91,230.83,,https://example.com/images/sku-44335.jpg,218,2.85,12x9x49 cm,2024-04-07
35,SKU-58393,Wireless Speaker,Jewelry,N/A,159.28,Wireless Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-58393.jpg,21,1.61,7x27x18 cm,2025-10-05
36,SKU-23473,Compact Headphones,Automotive,391.16,294.8,Compact Headphones - A high-quality headphones designed for modern needs.,,208,4.87,14x20x15 cm,2024-05-06
37,SKU-33509,Durable Speaker,Garden,462.62,329.83,Durable Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-33509.jpg,210,4.03,20x22x15 cm,2025-10-25
38,SKU-15075,Eco Bag,Books,115.1,83.64,Eco Bag - A high-quality bag designed for modern needs.,,235,1.81,19x19x6 cm,2025-09-12
39,SKU-53025,Compact Bag,Sports,432.85,340.55,Compact Bag - A high-quality bag designed for modern needs.,https://example.com/images/sku-53025.jpg,142,1.82,37x30x48 cm,2025-05-09
40,SKU-25118,Stylish Speaker,Sports,93.39,73.31,Stylish Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-25118.jpg,135,0.29,43x32x27 cm,2024-09-23
41,SKU-77033,Durable Camera,Home & Kitchen,195.67,123.4,Durable Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-77033.jpg,130,0.32,32x5x38 cm,2025-05-11
42,SKU-66531,Compact Vacuum,Home & Kitchen,474.69,364.71,Compact Vacuum - A high-quality vacuum designed for modern needs.,https://example.com/images/sku-66531.jpg,319,1.64,12x24x37 cm,2024-09-18
43,SKU-62743,Durable Vacuum,Garden,151.35,68.25,Durable Vacuum - A high-quality vacuum designed for modern needs.,https://example.com/images/sku-62743.jpg,215,3.36,29x48x16 cm,2025-07-29
44,SKU-63225,Waterproof Watch,Health,417.69,217.85,Waterproof Watch - A high-quality watch designed for modern needs.,,107,2.21,42x43x46 cm,2024-10-01
45,SKU-11330,Lightweight Chair,Office,110.78,65.28,Lightweight Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-67954.jpg,461,4.8,15x47x10 cm,2024-08-23
46,SKU-92960,Wireless Headphones,Jewelry,170.92,124.32,Wireless Headphones - A high-quality headphones designed for modern needs.,,384,1.25,24x19x17 cm,2024-04-05
47,SKU-42092,Premium Speaker,Books,307.58,217.58,,https://example.com/images/sku-42092.jpg,233,2.13,45x41x17 cm,2025-10-20
48,SKU-62383,Durable Chair,,78.05,52.69,Durable Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-62383.jpg,457,3.78,11x32x19 cm,2024-05-05
49,SKU-16582,Wireless Chair,Health,128.35,94.89,Wireless Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-16582.jpg,233,0.75,34x47x38 cm,2025-06-01
50,SKU-68008,Waterproof Vacuum,Jewelry,408.43,309.1,Waterproof Vacuum - A high-quality vacuum designed for modern needs.,https://example.com/images/sku-68008.jpg,218,4.17,40x33x15 cm,2025-03-07
51,SKU-42406,Lightweight Watch,,142.27,101.16,Lightweight Watch - A high-quality watch designed for modern needs.,https://example.com/images/sku-42406.jpg,248,3.17,22x33x9 cm,2025-11-06
52,SKU-45614,Portable Lamp,Automotive,NaN,100.58,Portable Lamp - A high-quality lamp designed for modern needs.,https://example.com/images/sku-45614.jpg,70,0.84,29x49x14 cm,2025-10-30
53,SKU-64377,Compact Mug,Toys,168.79,98.97,,https://example.com/images/sku-64377.jpg,31,1.11,31x29x42 cm,2025-10-19
54,SKU-85456,Premium Shoes,Toys,241.1,187.36,Premium Shoes - A high-quality shoes designed for modern needs.,https://example.com/images/sku-85456.jpg,152,3.79,31x39x39 cm,2025-07-16
55,SKU-38760,Compact Chair,Sports,220.74,90.86,Compact Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-38760.jpg,172,3.38,30x15x34 cm,2024-03-16
56,SKU-13534,Waterproof Bottle,Toys,297.99,198.22,,https://example.com/images/sku-13534.jpg,42,3.25,13x34x16 cm,2023-12-28
57,SKU-52906,Portable Bag,Beauty,230.08,123.09,Portable Bag - A high-quality bag designed for modern needs.,https://example.com/images/sku-52906.jpg,450,1.96,31x21x10 cm,2025-03-02
58,SKU-80702,Premium Pen,Electronics,499.95,269.97,Premium Pen - A high-quality pen designed for modern needs.,https://example.com/images/sku-80702.jpg,332,0.44,46x7x6 cm,2024-07-17
59,SKU-91439,Compact Speaker,Clothing,free,72.55,Compact Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-91439.jpg,58,2.86,18x34x49 cm,2024-07-26
60,SKU-89415,Stylish Shirt,Jewelry,,331.33,Stylish Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-89415.jpg,398,4.11,24x11x42 cm,2023-12-03
61,SKU-98781,Portable Camera,Toys,201.34,138.12,Portable Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-98781.jpg,38,3.0,45x20x11 cm,2025-10-20
62,SKU-88697,Portable Headphones,Pet Supplies,64.92,51.52,Portable Headphones - A high-quality headphones designed for modern needs.,,400,0.3,39x32x47 cm,2024-11-20
63,SKU-94874,Eco Bottle,,11.26,6.4,Eco Bottle - A high-quality bottle designed for modern needs.,https://example.com/images/sku-94874.jpg,250,0.62,28x45x34 cm,2025-10-31
64,SKU-33086,Smart Bag,Garden,263.26,173.8,,https://example.com/images/sku-33086.jpg,315,4.06,39x35x34 cm,2025-01-26
65,SKU-52245,Waterproof Watch,Beauty,,180.91,Waterproof Watch - A high-quality watch designed for modern needs.,https://example.com/images/sku-52245.jpg,451,2.31,34x41x44 cm,2025-09-21
66,SKU-13761,Durable Vacuum,Books,426.22,201.49,Durable Vacuum - A high-quality vacuum designed for modern needs.,https://example.com/images/sku-13761.jpg,108,1.84,21x26x22 cm,2025-07-09
67,SKU-11330,Portable Bottle,Health,474.29,205.96,Portable Bottle - A high-quality bottle designed for modern needs.,,368,2.09,40x20x49 cm,2025-03-08
68,SKU-12260,Lightweight Chair,Home & Kitchen,150.65,84.63,,https://example.com/images/sku-12260.jpg,124,1.6,42x28x35 cm,2025-05-26
69,SKU-65771,Wireless Vacuum,Garden,277.44,150.02,Wireless Vacuum - A high-quality vacuum designed for modern needs.,https://example.com/images/sku-65771.jpg,232,1.43,21x19x12 cm,2024-05-22
70,SKU-80236,Stylish Mug,Pet Supplies,346.63,165.21,,https://example.com/images/sku-80236.jpg,378,2.47,42x38x43 cm,2024-08-22
71,SKU-48829,Eco Lamp,Beauty,183.64,95.66,Eco Lamp - A high-quality lamp designed for modern needs.,,362,2.72,22x7x8 cm,2025-05-26
72,SKU-26551,Portable Pen,Office,434.89,259.35,Portable Pen - A high-quality pen designed for modern needs.,https://example.com/images/sku-26551.jpg,446,0.16,23x35x35 cm,2025-01-31
73,SKU-81228,Stylish Shirt,Sports,470.83,278.3,Stylish Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-16734.jpg,420,0.42,36x9x41 cm,2025-08-12
74,SKU-29555,Premium Shirt,Pet Supplies,283.61,147.91,Premium Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-29555.jpg,127,0.68,31x43x43 cm,2025-08-01
75,SKU-78494,Compact Shoes,Toys,228.0,131.58,Compact Shoes - A high-quality shoes designed for modern needs.,https://example.com/images/sku-78494.jpg,440,2.98,32x24x41 cm,2025-08-03
76,SKU-23006,Premium Camera,Pet Supplies,N/A,52.25,Premium Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-23006.jpg,338,0.5,20x16x40 cm,2024-01-22
77,SKU-63545,Smart Speaker,Books,error,203.58,Smart Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-63545.jpg,16,1.23,50x23x49 cm,2025-02-13
78,SKU-40595,Eco Headphones,Sports,394.97,256.74,Eco Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-40595.jpg,338,4.04,17x32x12 cm,2025-05-17
79,SKU-29528,Compact Headphones,,414.18,177.5,Compact Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-29528.jpg,84,3.98,43x41x23 cm,2025-01-29
80,SKU-49857,Eco Chair,Garden,204.24,103.94,Eco Chair - A high-quality chair designed for modern needs.,,276,2.52,10x43x7 cm,2025-01-22
81,SKU-42816,Stylish Camera,Electronics,50.21,39.4,Stylish Camera - A high-quality camera designed for modern needs.,,428,4.32,42x6x48 cm,2024-08-08
82,SKU-32962,Waterproof Speaker,Books,261.89,151.08,,https://example.com/images/sku-32962.jpg,142,0.99,42x32x45 cm,2025-03-24
83,SKU-55607,Eco Chair,Toys,169.99,113.56,Eco Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-55607.jpg,439,0.89,31x49x36 cm,2024-08-28
84,SKU-82102,Durable Shoes,Electronics,230.14,121.01,,https://example.com/images/sku-82102.jpg,165,0.67,30x37x5 cm,2025-09-10
85,SKU-64165,Wireless Chair,Electronics,N/A,53.3,Wireless Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-64165.jpg,387,2.54,33x8x18 cm,2024-08-06
86,SKU-47752,Wireless Shirt,,441.02,261.92,Wireless Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-47752.jpg,14,4.87,43x20x50 cm,2024-04-17
87,SKU-11792,Portable Bottle,Health,206.96,101.39,Portable Bottle - A high-quality bottle designed for modern needs.,https://example.com/images/sku-11792.jpg,430,4.57,34x12x46 cm,2024-04-12
88,SKU-48254,Lightweight Pen,Health,NaN,200.54,Lightweight Pen - A high-quality pen designed for modern needs.,https://example.com/images/sku-48254.jpg,247,4.9,20x34x40 cm,2024-04-03
89,SKU-88561,Durable Lamp,Health,374.41,170.21,,https://example.com/images/sku-88561.jpg,35,1.45,31x26x37 cm,2024-08-06
90,SKU-49132,Premium Watch,Jewelry,292.06,193.92,Premium Watch - A high-quality watch designed for modern needs.,https://example.com/images/sku-49132.jpg,443,0.83,39x35x27 cm,2024-10-12
91,SKU-81228,Wireless Shoes,Toys,230.4,121.82,,https://example.com/images/sku-81228.jpg,96,4.91,20x41x29 cm,2024-07-03
92,SKU-98501,Durable Speaker,Garden,239.12,183.02,Durable Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-51704.jpg,195,1.99,47x46x14 cm,2025-03-28
93,SKU-75836,Premium Shirt,Jewelry,169.34,74.53,Premium Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-75836.jpg,432,2.26,38x34x5 cm,2024-04-02
94,SKU-30232,Durable Headphones,Home & Kitchen,237.4,187.0,Durable Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-30232.jpg,173,3.15,30x46x10 cm,2024-10-08
95,SKU-51505,Wireless Bag,Office,360.77,253.9,Wireless Bag - A high-quality bag designed for modern needs.,,446,2.75,44x9x20 cm,2025-08-14
96,SKU-18326,Portable Lamp,Toys,489.28,344.53,Portable Lamp - A high-quality lamp designed for modern needs.,https://example.com/images/sku-21846.jpg,360,4.38,33x15x49 cm,2024-09-08
97,SKU-52516,Premium Speaker,Pet Supplies,32.78,17.81,,https://example.com/images/sku-52516.jpg,220,0.81,38x31x41 cm,2025-10-05
98,SKU-32946,Smart Shirt,,306.7,169.61,Smart Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-32946.jpg,349,1.28,42x14x19 cm,2025-02-21
99,SKU-43466,Portable Chair,Office,9.65,6.97,,https://example.com/images/sku-43466.jpg,461,1.51,39x15x9 cm,2025-02-01
100,SKU-49210,Stylish Camera,,481.2,325.35,Stylish Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-49210.jpg,233,4.24,17x29x35 cm,2024-02-24
101,SKU-84963,Compact Bag,Automotive,289.53,230.78,Compact Bag - A high-quality bag designed for modern needs.,https://example.com/images/sku-84963.jpg,151,0.21,47x30x22 cm,2023-11-15
102,SKU-16428,Waterproof Headphones,Jewelry,373.86,274.09,,https://example.com/images/sku-16428.jpg,462,1.5,19x43x27 cm,2024-06-18
103,SKU-42850,Compact Camera,Office,379.01,267.96,,https://example.com/images/sku-42850.jpg,348,4.21,45x11x45 cm,2025-08-29
104,SKU-67779,Premium Watch,Electronics,291.89,202.26,Premium Watch - A high-quality watch designed for modern needs.,https://example.com/images/sku-67779.jpg,46,4.56,25x31x16 cm,2024-05-30
105,SKU-80701,Smart Shoes,Automotive,267.77,204.95,Smart Shoes - A high-quality shoes designed for modern needs.,https://example.com/images/sku-80701.jpg,425,0.91,35x23x26 cm,2024-03-03
106,SKU-28449,Lightweight Mug,Pet Supplies,483.42,359.69,,https://example.com/images/sku-28449.jpg,370,3.4,30x40x28 cm,2024-02-07
107,SKU-44663,Durable Speaker,Health,66.18,36.23,Durable Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-44663.jpg,383,3.39,42x29x45 cm,2024-11-21
108,SKU-40647,Eco Headphones,,17.39,13.11,Eco Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-40647.jpg,287,1.71,44x19x46 cm,2024-01-10
109,SKU-49608,Lightweight Pen,Office,207.11,94.42,,https://example.com/images/sku-49608.jpg,484,0.28,36x12x11 cm,2024-07-04
110,SKU-60940,Wireless Shirt,Books,188.65,147.1,,https://example.com/images/sku-60940.jpg,356,4.74,31x42x14 cm,2025-01-04
111,SKU-90694,Eco Chair,Toys,469.83,240.5,Eco Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-90694.jpg,353,1.92,33x33x20 cm,2024-11-12
112,SKU-58147,Eco Headphones,Health,451.34,296.95,,https://example.com/images/sku-58147.jpg,31,2.05,17x12x34 cm,2024-02-08
113,SKU-93819,Compact Headphones,Jewelry,485.69,204.1,Compact Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-93819.jpg,170,1.29,13x41x18 cm,2024-01-16
114,SKU-86858,Wireless Lamp,Beauty,407.46,200.96,,https://example.com/images/sku-86858.jpg,396,0.82,43x5x22 cm,2024-04-03
115,SKU-42853,Smart Bottle,Pet Supplies,91.38,60.71,,https://example.com/images/sku-42853.jpg,13,0.75,27x20x42 cm,2024-10-03
116,SKU-44782,Premium Shirt,Electronics,67.75,38.51,,https://example.com/images/sku-44782.jpg,58,3.75,35x33x28 cm,2025-04-15
117,SKU-69245,Waterproof Mug,Health,114.67,74.08,Waterproof Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-69245.jpg,372,3.94,47x38x24 cm,2025-02-18
118,SKU-72781,Premium Speaker,Toys,216.01,95.73,Premium Speaker - A high-quality speaker designed for modern needs.,,364,4.56,9x10x25 cm,2025-07-21
119,SKU-26540,Smart Mug,Sports,314.04,199.15,Smart Mug - A high-quality mug designed for modern needs.,,364,1.69,43x38x23 cm,2025-02-13
120,SKU-98501,Wireless Camera,Home & Kitchen,397.58,177.23,Wireless Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-66387.jpg,335,3.29,40x18x32 cm,2025-02-11
121,SKU-54424,Compact Bag,Books,202.37,140.01,Compact Bag - A high-quality bag designed for modern needs.,,160,2.19,47x21x28 cm,2024-04-11
122,SKU-21957,Lightweight Mug,Home & Kitchen,51.15,22.44,Lightweight Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-21957.jpg,378,1.93,13x40x8 cm,2025-06-29
123,SKU-23124,Wireless Bottle,Office,65.5,35.46,Wireless Bottle - A high-quality bottle designed for modern needs.,https://example.com/images/sku-53207.jpg,340,4.71,32x8x23 cm,2025-07-13
124,SKU-23579,Portable Vacuum,Jewelry,256.17,118.32,,https://example.com/images/sku-23579.jpg,246,1.2,11x27x40 cm,2024-11-17
125,SKU-46512,Eco Shoes,Jewelry,116.95,66.85,Eco Shoes - A high-quality shoes designed for modern needs.,https://example.com/images/sku-46512.jpg,287,4.88,44x44x48 cm,2025-08-26
126,SKU-89822,Wireless Speaker,Office,415.58,210.69,Wireless Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-89822.jpg,92,1.44,24x26x27 cm,2023-11-13
127,SKU-84228,Smart Shirt,Office,203.39,92.9,Smart Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-84228.jpg,324,4.86,10x38x18 cm,2024-11-26
128,SKU-54681,Durable Chair,Clothing,188.18,129.59,,https://example.com/images/sku-54681.jpg,397,4.71,43x10x8 cm,2024-04-14
129,SKU-90981,Smart Shoes,Electronics,338.61,172.3,Smart Shoes - A high-quality shoes designed for modern needs.,,338,2.18,43x33x31 cm,2024-08-12
130,SKU-77154,Compact Shoes,Home & Kitchen,175.86,78.14,,https://example.com/images/sku-77154.jpg,347,3.42,36x38x47 cm,2024-09-17
131,SKU-61807,Premium Lamp,Jewelry,32.12,15.47,Premium Lamp - A high-quality lamp designed for modern needs.,,484,1.14,13x21x23 cm,2024-10-07
132,SKU-75193,Eco Speaker,Garden,218.17,98.54,Eco Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-75193.jpg,272,3.55,37x40x47 cm,2024-11-03
133,SKU-15544,Eco Bag,Toys,14.28,10.97,,https://example.com/images/sku-15544.jpg,441,1.63,32x41x30 cm,2025-11-02
134,SKU-25096,Durable Watch,Toys,15.32,8.12,Durable Watch - A high-quality watch designed for modern needs.,,410,4.74,34x49x28 cm,2024-02-05
135,SKU-41891,Durable Mug,Toys,296.49,180.74,Durable Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-41891.jpg,202,4.37,26x19x26 cm,2024-04-27
136,SKU-92998,Eco Bottle,Home & Kitchen,267.65,127.82,Eco Bottle - A high-quality bottle designed for modern needs.,https://example.com/images/sku-92998.jpg,397,1.81,46x14x20 cm,2024-02-20
137,SKU-35856,Smart Watch,Clothing,303.19,213.47,Smart Watch - A high-quality watch designed for modern needs.,,335,0.47,45x36x34 cm,2025-06-06
138,SKU-99277,Waterproof Chair,Jewelry,323.28,256.88,,https://example.com/images/sku-99277.jpg,165,4.33,45x25x14 cm,2025-01-30
139,SKU-67961,Eco Chair,Office,154.9,78.98,Eco Chair - A high-quality chair designed for modern needs.,,28,1.82,9x24x34 cm,2025-02-11
140,SKU-58331,Premium Speaker,Sports,42.98,32.05,Premium Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-58331.jpg,437,0.54,43x37x29 cm,2025-02-22
141,SKU-15376,Waterproof Bottle,Books,454.98,286.03,,https://example.com/images/sku-15376.jpg,96,1.68,35x37x14 cm,2024-01-09
142,SKU-55015,Lightweight Mug,,46.74,30.78,Lightweight Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-55015.jpg,20,1.31,33x33x38 cm,2025-04-25
143,SKU-57696,Waterproof Shirt,Automotive,459.38,254.94,Waterproof Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-57696.jpg,396,1.76,43x8x45 cm,2025-08-30
144,SKU-53213,Stylish Mug,Home & Kitchen,281.19,155.96,Stylish Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-53213.jpg,129,3.65,47x43x14 cm,2024-10-13
145,SKU-96980,Eco Camera,Clothing,458.79,240.45,,https://example.com/images/sku-96980.jpg,335,3.52,30x13x43 cm,2025-11-01
146,SKU-83259,Eco Watch,Toys,323.53,171.92,,https://example.com/images/sku-83259.jpg,65,3.38,48x38x10 cm,2025-08-29
147,SKU-57425,Durable Bottle,Electronics,184.49,87.1,Durable Bottle - A high-quality bottle designed for modern needs.,,109,1.77,36x17x19 cm,2024-03-26
148,SKU-48770,Smart Mug,,55.06,39.0,Smart Mug - A high-quality mug designed for modern needs.,https://example.com/images/sku-48770.jpg,427,3.72,38x7x47 cm,2024-10-16
149,SKU-88282,Waterproof Shirt,Toys,,38.43,Waterproof Shirt - A high-quality shirt designed for modern needs.,https://example.com/images/sku-88282.jpg,354,3.88,15x33x7 cm,2024-12-31
150,SKU-41133,Stylish Headphones,Books,307.24,215.36,Stylish Headphones - A high-quality headphones designed for modern needs.,https://example.com/images/sku-41133.jpg,401,2.3,39x20x24 cm,2025-03-01
151,SKU-98907,Compact Vacuum,Jewelry,492.3,287.83,Compact Vacuum - A high-quality vacuum designed for modern needs.,https://example.com/images/sku-98907.jpg,144,3.91,37x38x31 cm,2024-04-20
152,SKU-89254,Compact Shoes,Clothing,437.14,183.98,Compact Shoes - A high-quality shoes designed for modern needs.,,246,4.38,40x11x50 cm,2025-04-18
153,SKU-20993,Eco Watch,Pet Supplies,84.35,48.9,,https://example.com/images/sku-20993.jpg,262,0.82,32x10x19 cm,2025-02-10
154,SKU-64381,Stylish Speaker,Electronics,201.24,110.6,Stylish Speaker - A high-quality speaker designed for modern needs.,https://example.com/images/sku-64381.jpg,197,4.97,28x19x6 cm,2024-09-28
155,SKU-95191,Eco Pen,Automotive,396.73,180.53,,https://example.com/images/sku-95191.jpg,146,4.6,35x49x13 cm,2025-10-29
156,SKU-90654,Lightweight Chair,Electronics,,184.81,Lightweight Chair - A high-quality chair designed for modern needs.,https://example.com/images/sku-90654.jpg,110,4.19,40x43x38 cm,2025-01-13
157,SKU-47762,Eco Shoes,Beauty,154.07,64.57,,https://example.com/images/sku-47762.jpg,214,3.23,44x34x9 cm,2024-02-28
158,SKU-80261,Lightweight Camera,Electronics,317.82,200.23,Lightweight Camera - A high-quality camera designed for modern needs.,https://example.com/images/sku-80261.jpg,367,0.8,32x5x44 cm,2024-11-02
159,SKU-64600,Compact Camera,Clothing,333.86,144.98,Compact Camera - A high-quality camera designed for modern needs.,,499,1.87,38x39x37 cm,2025-04-09
160,SKU-61177,Wireless Speaker,Books,26.55,14.73,,https://example.com/images/sku-61177.jpg,191,1.34,6x27x9 cm,2024-10-25
161,SKU-96127,Compact Pen,Office,56.31,35.63,Compact Pen - A high-quality pen designed for modern needs.,https://example.com/images/sku-96127.jpg,387,1.73,7x27x39 cm,2024-10-18
162,SKU-99742,Smart Shoes,Books,490.51,290.09,Smart Shoes - A high-quality shoes designed for modern needs.,https://example.com/images/sku-99742.jpg,93,4.08,9x50x34 cm,2023-12-14
